Feature,Importance
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,0.00410559825525363
PREV_NAME_YIELD_GROUP_XNA_MEAN,0.0040966402320507765
PREV_NAME_PORTFOLIO_POS_MEAN,0.004085911448910649
PREV_CODE_REJECT_REASON_LIMIT_MEAN,0.004055404057652438
ORGANIZATION_TYPE_Bank,0.004032005937775285
POS_NAME_CONTRACT_STATUS_Signed_MEAN,0.003977695722905718
PREV_AMT_CREDIT_MAX,0.003910543143608224
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,0.0038285300179487667
PREV_PRODUCT_COMBINATION_CashXSellhigh_MEAN,0.0037347481297841743
ORGANIZATION_TYPE_Police,0.0037282850858079536
AMT_REQ_CREDIT_BUREAU_DAY,0.0037223406426099533
INSTAL_PAYMENT_PERC_VAR,0.0036856322400986717
WALLSMATERIAL_MODE_Panel,0.0036123239313557076
BURO_MONTHS_BALANCE_SIZE_SUM,0.003607668303126511
PREV_DAYS_DECISION_MAX,0.0035944135769701577
POS_SK_DPD_DEF_MAX,0.0034710327749021795
CLOSED_DAYS_CREDIT_ENDDATE_MIN,0.003456636238864478
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,0.003317464088693528
PREV_NAME_GOODS_CATEGORY_XNA_MEAN,0.0033130651809568836
PREV_AMT_DOWN_PAYMENT_MEAN,0.0032673788122492865
PREV_PRODUCT_COMBINATION_Cash_MEAN,0.0032435608567460365
NONLIVINGAREA_MODE,0.0032352139626227227
PREV_APP_CREDIT_PERC_VAR,0.003182689578129479
PREV_NAME_PORTFOLIO_Cash_MEAN,0.0031519305328133146
CLOSED_DAYS_CREDIT_UPDATE_MEAN,0.003130366876656627
INSTAL_COUNT,0.0031225144865688345
PREV_RATE_DOWN_PAYMENT_MAX,0.0030545963521886755
FLOORSMAX_AVG,0.003019229634605637
POS_NAME_CONTRACT_STATUS_Completed_MEAN,0.0029682747395899933
BURO_AMT_CREDIT_SUM_DEBT_SUM,0.002931334469756942
PREV_CHANNEL_TYPE_Stone_MEAN,0.0029279134387508285
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,0.0029120286692422333
LANDAREA_MODE,0.0028835694180690307
PREV_NAME_PORTFOLIO_Cards_MEAN,0.0028544530196283825
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,0.0028061907425017073
ACTIVE_MONTHS_BALANCE_SIZE_SUM,0.002799602126303331
REG_CITY_NOT_LIVE_CITY,0.0027807382584142553
APPROVED_APP_CREDIT_PERC_MIN,0.0027674772749496333
BURO_CREDIT_TYPE_Consumercredit_MEAN,0.0026772389733744485
OCCUPATION_TYPE_Highskilltechstaff,0.0026755714522281255
APPROVED_AMT_APPLICATION_MEAN,0.0026590864714715083
PREV_CHANNEL_TYPE_Creditandcashoffices_MEAN,0.002524640044526812
AMT_INCOME_TOTAL,0.002481355834591272
CLOSED_AMT_CREDIT_SUM_SUM,0.002444623286411756
INSTAL_DBD_MAX,0.002376031634940238
PREV_PRODUCT_COMBINATION_POShouseholdwithoutinterest_MEAN,0.0023261431596718492
PREV_NAME_CONTRACT_TYPE_Revolvingloans_MEAN,0.0022875970141642056
PREV_NAME_YIELD_GROUP_middle_MEAN,0.002260733924190627
PREV_PRODUCT_COMBINATION_CardXSell_MEAN,0.00225684112909847
PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,0.0021362224939911255
ACTIVE_DAYS_CREDIT_MIN,0.0021055092475165244
POS_MONTHS_BALANCE_MEAN,0.0020834882335350733
PREV_NAME_CLIENT_TYPE_Repeater_MEAN,0.0020618159442573176
PREV_NAME_SELLER_INDUSTRY_Clothing_MEAN,0.002039848112630469
OBS_60_CNT_SOCIAL_CIRCLE,0.002018580589789756
PREV_NAME_TYPE_SUITE_Family_MEAN,0.001969586365070362
PREV_AMT_APPLICATION_MEAN,0.0019536768250270837
BASEMENTAREA_MODE,0.0019480199805219582
ACTIVE_DAYS_CREDIT_VAR,0.0019454014335761691
PREV_NAME_TYPE_SUITE_nan_MEAN,0.0019318915047614987
PREV_RATE_DOWN_PAYMENT_MIN,0.0019209317027243167
APPROVED_AMT_APPLICATION_MIN,0.0019199058580690348
APPROVED_AMT_CREDIT_MEAN,0.0019188798662110468
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,0.0018796185295847897
BURO_AMT_CREDIT_SUM_DEBT_MAX,0.0018767008185279085
ACTIVE_AMT_CREDIT_SUM_LIMIT_SUM,0.0018448635962843253
PREV_NAME_CONTRACT_TYPE_Consumerloans_MEAN,0.0018406848240668295
LANDAREA_MEDI,0.0018371504173355006
NONLIVINGAREA_AVG,0.00180535616198204
PREV_NAME_PAYMENT_TYPE_Cashthroughthebank_MEAN,0.0017868197452928884
APPROVED_AMT_CREDIT_MIN,0.00177860748652106
PREV_NAME_PRODUCT_TYPE_xsell_MEAN,0.0017407451581865762
PREV_NAME_GOODS_CATEGORY_ClothingandAccessories_MEAN,0.0017195891122926562
BURO_DAYS_CREDIT_VAR,0.0017188424941856786
CLOSED_MONTHS_BALANCE_SIZE_SUM,0.0016906532217460595
APARTMENTS_AVG,0.0016830994310340955
PREV_CHANNEL_TYPE_Contactcenter_MEAN,0.0016612133079255786
OCCUPATION_TYPE_LowskillLaborers,0.0015649401650168055
FLOORSMAX_MEDI,0.001551672346444676
CLOSED_DAYS_CREDIT_MIN,0.0015419653452869654
APPROVED_DAYS_DECISION_MEAN,0.0015277948614729488
PREV_NAME_CASH_LOAN_PURPOSE_XAP_MEAN,0.0014953195068288648
INSTAL_PAYMENT_PERC_MAX,0.0014933956227868525
APPROVED_RATE_DOWN_PAYMENT_MEAN,0.001485660291978919
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,0.0014767829980888163
PREV_PRODUCT_COMBINATION_CashStreethigh_MEAN,0.001443045182138688
PREV_NAME_TYPE_SUITE_Spousepartner_MEAN,0.0014277718047059232
NAME_TYPE_SUITE_Spousepartner,0.0014178691154622027
LIVINGAREA_MODE,0.0013875722022919446
PREV_HOUR_APPR_PROCESS_START_MAX,0.001352077687026051
PREV_NAME_CONTRACT_TYPE_Cashloans_MEAN,0.0013282798877679476
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,0.0013166309428497853
PREV_NAME_CASH_LOAN_PURPOSE_Urgentneeds_MEAN,0.001316218849317403
NONLIVINGAREA_MEDI,0.0013094097396442453
EMERGENCYSTATE_MODE_No,0.0013085018241389493
ELEVATORS_AVG,0.0012959708440223104
OBS_30_CNT_SOCIAL_CIRCLE,0.0012165804919067708
PREV_AMT_CREDIT_MIN,0.0012134855553039435
OCCUPATION_TYPE_Managers,0.0012111767497925
PREV_AMT_GOODS_PRICE_MEAN,0.0012047919021353718
APPROVED_AMT_DOWN_PAYMENT_MEAN,0.001189530384957078
APPROVED_AMT_GOODS_PRICE_MEAN,0.001141816175661034
PREV_RATE_DOWN_PAYMENT_MEAN,0.0011273180044683471
PREV_PRODUCT_COMBINATION_POSindustrywithoutinterest_MEAN,0.0011050276688867133
CLOSED_AMT_CREDIT_SUM_DEBT_MAX,0.0010982729665710038
APPROVED_AMT_DOWN_PAYMENT_MIN,0.0010809834274918557
INSTAL_PAYMENT_DIFF_VAR,0.0010619537151428165
PREV_NAME_PRODUCT_TYPE_XNA_MEAN,0.0010547708605405373
APPROVED_APP_CREDIT_PERC_VAR,0.0010261004596315128
PREV_NAME_SELLER_INDUSTRY_XNA_MEAN,0.0010012128228379922
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,0.0009800431424389698
POS_SK_DPD_MEAN,0.0009688779049911953
BASEMENTAREA_AVG,0.0009632293875136558
PREV_AMT_APPLICATION_MAX,0.0009517461685307869
APPROVED_AMT_ANNUITY_MIN,0.0009435920209891128
CLOSED_DAYS_CREDIT_MEAN,0.0009324475178209248
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,0.0009258859815295828
PREV_PRODUCT_COMBINATION_POShouseholdwithinterest_MEAN,0.0009073248761860553
ENTRANCES_MEDI,0.0008460483621206168
PREV_AMT_GOODS_PRICE_MIN,0.0008417558553231889
PREV_CHANNEL_TYPE_Countrywide_MEAN,0.0008147286469488945
WALLSMATERIAL_MODE_Stonebrick,0.0007370612356242872
